"Date du prélèvement","Station d'épuration de Gatineau (moy 7 jours)"
"2022-03-25 00:00:00",
"2022-03-26 00:00:00",
"2022-03-27 00:00:00",
"2022-03-28 00:00:00",
"2022-03-29 00:00:00",
"2022-03-30 00:00:00",
"2022-03-31 00:00:00",
"2022-04-01 00:00:00",
"2022-04-02 00:00:00",
"2022-04-03 00:00:00",
"2022-04-04 00:00:00",
"2022-04-05 00:00:00",
"2022-04-06 00:00:00",
"2022-04-07 00:00:00",
"2022-04-08 00:00:00",
"2022-04-09 00:00:00",
"2022-04-10 00:00:00",
"2022-04-11 00:00:00",
"2022-04-12 00:00:00",
"2022-04-13 00:00:00",
"2022-04-14 00:00:00",
"2022-04-15 00:00:00",
"2022-04-16 00:00:00",
"2022-04-17 00:00:00",
"2022-04-18 00:00:00",
"2022-04-19 00:00:00",
"2022-04-20 00:00:00",
"2022-04-21 00:00:00",
"2022-04-22 00:00:00",
"2022-04-23 00:00:00",
"2022-04-24 00:00:00",
"2022-04-25 00:00:00",
"2022-04-26 00:00:00",
"2022-04-27 00:00:00",
"2022-04-28 00:00:00",
"2022-04-29 00:00:00",
"2022-04-30 00:00:00",
"2022-05-01 00:00:00",
"2022-05-02 00:00:00",
"2022-05-03 00:00:00",
"2022-05-04 00:00:00",
"2022-05-05 00:00:00",
"2022-05-06 00:00:00",
"2022-05-07 00:00:00",
"2022-05-08 00:00:00",
"2022-05-09 00:00:00",
"2022-05-10 00:00:00",
"2022-05-11 00:00:00",
"2022-05-12 00:00:00",
"2022-05-13 00:00:00",
"2022-05-14 00:00:00",
"2022-05-15 00:00:00",
"2022-05-16 00:00:00",1700.52994
"2022-05-17 00:00:00",1911.02718
"2022-05-18 00:00:00",1796.24449
"2022-05-19 00:00:00",1687.74037
"2022-05-20 00:00:00",910.65296
"2022-05-21 00:00:00",940.84418
"2022-05-22 00:00:00",742.25312
"2022-05-23 00:00:00",729.09007
"2022-05-24 00:00:00",1036.13291
"2022-05-25 00:00:00",1088.50476
"2022-05-26 00:00:00",1345.522
"2022-05-27 00:00:00",1733.52375
"2022-05-28 00:00:00",1642.3189
"2022-05-29 00:00:00",1701.50986
"2022-05-30 00:00:00",1493.12422
"2022-05-31 00:00:00",756.0998
"2022-06-01 00:00:00",529.62576
"2022-06-02 00:00:00",408.98867
"2022-06-03 00:00:00",311.90914
"2022-06-04 00:00:00",272.69941
"2022-06-05 00:00:00",294.32594
"2022-06-06 00:00:00",378.03117
"2022-06-07 00:00:00",576.29203
"2022-06-08 00:00:00",807.07713
"2022-06-09 00:00:00",925.93983
"2022-06-10 00:00:00",1362.52978
"2022-06-11 00:00:00",1394.74937
"2022-06-12 00:00:00",1414.63475
"2022-06-13 00:00:00",1257.28682
"2022-06-14 00:00:00",1266.82971
"2022-06-15 00:00:00",1275.28121
"2022-06-16 00:00:00",1044.91199
"2022-06-17 00:00:00",1081.3953
"2022-06-18 00:00:00",1615.92454
"2022-06-19 00:00:00",2090.15983
"2022-06-20 00:00:00",3185.72293
"2022-06-21 00:00:00",4330.15009
"2022-06-22 00:00:00",5280.15559
"2022-06-23 00:00:00",9236.11588
"2022-06-24 00:00:00",10009.36014
"2022-06-25 00:00:00",9371.30181
"2022-06-26 00:00:00",9097.59708
"2022-06-27 00:00:00",8562.67287
"2022-06-28 00:00:00",9294.15989
"2022-06-29 00:00:00",9687.58744
"2022-06-30 00:00:00",10959.13243
"2022-07-01 00:00:00",12136.67385
"2022-07-02 00:00:00",13885.0261
"2022-07-03 00:00:00",13975.62794
"2022-07-04 00:00:00",15460.15212
"2022-07-05 00:00:00",14096.15841
"2022-07-06 00:00:00",15318.32707
"2022-07-07 00:00:00",11572.32347
"2022-07-08 00:00:00",8613.82523
"2022-07-09 00:00:00",10851.01592
"2022-07-10 00:00:00",11572.26762
"2022-07-11 00:00:00",10520.9004
"2022-07-12 00:00:00",11739.84056
"2022-07-13 00:00:00",13189.66174
"2022-07-14 00:00:00",11647.10596
"2022-07-15 00:00:00",10919.43553
"2022-07-16 00:00:00",10844.60137
"2022-07-17 00:00:00",9836.54983
"2022-07-18 00:00:00",10201.34004
"2022-07-19 00:00:00",9436.95279
"2022-07-20 00:00:00",7866.60688
"2022-07-21 00:00:00",8430.74072
"2022-07-22 00:00:00",8779.9327
"2022-07-23 00:00:00",6843.65003
"2022-07-24 00:00:00",7385.6061
"2022-07-25 00:00:00",7725.86702
"2022-07-26 00:00:00",7678.44661
"2022-07-27 00:00:00",7934.26182
"2022-07-28 00:00:00",7812.42363
"2022-07-29 00:00:00",7555.62126
"2022-07-30 00:00:00",8530.80484
"2022-07-31 00:00:00",7354.04245
"2022-08-01 00:00:00",6650.98722
"2022-08-02 00:00:00",6040.89018
"2022-08-03 00:00:00",5254.7331
"2022-08-04 00:00:00",4410.58629
"2022-08-05 00:00:00",4759.21537
"2022-08-06 00:00:00",4651.11856
"2022-08-07 00:00:00",4629.70421
"2022-08-08 00:00:00",5051.30461
"2022-08-09 00:00:00",5076.45117
"2022-08-10 00:00:00",5539.68747
"2022-08-11 00:00:00",6229.60522
"2022-08-12 00:00:00",5642.54132
"2022-08-13 00:00:00",5115.33179
"2022-08-14 00:00:00",4961.31804
"2022-08-15 00:00:00",3942.97722
"2022-08-16 00:00:00",3873.47153
"2022-08-17 00:00:00",3720.54215
"2022-08-18 00:00:00",3470.33295
"2022-08-19 00:00:00",2899.28634
"2022-08-20 00:00:00",2382.22162
"2022-08-21 00:00:00",2439.93656
"2022-08-22 00:00:00",2555.91019
"2022-08-23 00:00:00",2098.58213
"2022-08-24 00:00:00",1718.88118
"2022-08-25 00:00:00",1281.37271
"2022-08-26 00:00:00",1503.70507
"2022-08-27 00:00:00",1848.20597
"2022-08-28 00:00:00",2191.53889
"2022-08-29 00:00:00",1974.58418
"2022-08-30 00:00:00",2226.86073
"2022-08-31 00:00:00",2476.80123
"2022-09-01 00:00:00",3552.7669
"2022-09-02 00:00:00",2775.31092
"2022-09-03 00:00:00",2633.27058
"2022-09-04 00:00:00",2400.81641
"2022-09-05 00:00:00",3469.01071
"2022-09-06 00:00:00",4090.8503
"2022-09-07 00:00:00",4805.16735
"2022-09-08 00:00:00",4944.82523
"2022-09-09 00:00:00",5230.85733
"2022-09-10 00:00:00",6641.88198
"2022-09-11 00:00:00",7315.05903
"2022-09-12 00:00:00",7180.13928
"2022-09-13 00:00:00",6361.54352
"2022-09-14 00:00:00",5562.76684
"2022-09-15 00:00:00",5143.81462
"2022-09-16 00:00:00",6906.70692
"2022-09-17 00:00:00",6850.10132
"2022-09-18 00:00:00",6796.86054
"2022-09-19 00:00:00",5740.54721
"2022-09-20 00:00:00",6407.32811
"2022-09-21 00:00:00",7602.56265
"2022-09-22 00:00:00",7157.44043
"2022-09-23 00:00:00",6903.1762
"2022-09-24 00:00:00",6189.33855
"2022-09-25 00:00:00",5347.78551
"2022-09-26 00:00:00",5636.16135
"2022-09-27 00:00:00",5347.60756
"2022-09-28 00:00:00",5237.45373
"2022-09-29 00:00:00",5554.74807
"2022-09-30 00:00:00",5135.45576
"2022-10-01 00:00:00",4689.97892
"2022-10-02 00:00:00",5048.03876
"2022-10-03 00:00:00",4758.36654
"2022-10-04 00:00:00",5008.84939
"2022-10-05 00:00:00",5088.96473
"2022-10-06 00:00:00",5741.05711
"2022-10-07 00:00:00",5464.90826
"2022-10-08 00:00:00",5419.8053
"2022-10-09 00:00:00",5768.96773
"2022-10-10 00:00:00",5753.97261
"2022-10-11 00:00:00",5804.63922
"2022-10-12 00:00:00",5331.99986
"2022-10-13 00:00:00",4208.18107
"2022-10-14 00:00:00",3946.32155
"2022-10-15 00:00:00",3763.42234
"2022-10-16 00:00:00",2756.905
"2022-10-17 00:00:00",
"2022-10-18 00:00:00",
"2022-10-19 00:00:00",
"2022-10-20 00:00:00",
"2022-10-21 00:00:00",
"2022-10-22 00:00:00",
"2022-10-23 00:00:00",
"2022-10-24 00:00:00",
